@relation microarray.txt

@attribute Score numeric
@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute totalGC numeric
@attribute totalAU numeric
@attribute seedGC numeric
@attribute seedAT numeric
@attribute seedGU numeric
@attribute Pos_2 numeric
@attribute Pos_4 numeric
@attribute Pos_6 numeric
@attribute Pos_7 numeric
@attribute Class {Target,Non-Target}

@data
143,-19,-16,3,9,2,5,0,2,2,1,2,Target
142,-22.5,-16,5,7,2,4,1,2,3,1,2,Target
140,-17.6,-16,3,8,2,5,0,2,2,1,2,Target
171,-35,-16,7,9,2,5,0,2,2,1,2,Target
168,-25.3,-16,4,11,2,5,0,2,2,1,2,Target
160,-25.6,-16,3,11,2,5,0,2,2,1,2,Target
151,-21.7,-16,3,9,2,5,0,2,2,1,2,Target
147,-21.3,-16,4,8,2,5,0,2,2,1,2,Target
146,-19.8,-16,4,8,2,5,0,2,2,1,2,Target
144,-25,-15.4,4,7,2,4,1,2,2,1,3,Target
143,-27.2,-16,6,8,2,4,1,2,3,1,2,Target
140,-24.1,-16,5,5,2,4,1,2,3,1,2,Target
172,-28.3,-20.9,7,8,4,3,0,1,1,2,2,Target
161,-22.6,-20.9,6,8,4,3,0,1,1,2,2,Target
158,-24.8,-20.9,6,8,4,3,0,1,1,2,2,Target
152,-26.5,-20.9,6,7,4,3,0,1,1,2,2,Target
147,-21.3,-20.9,6,5,4,3,0,1,1,2,2,Target
140,-25,-14.7,4,7,1,5,1,2,2,2,2,Target
155,-19.6,-16,3,8,2,5,0,2,2,2,2,Target
153,-28.3,-18.9,7,8,3,4,0,1,2,1,2,Target
152,-24.8,-18.9,7,6,3,4,0,1,2,1,2,Target
140,-22.52,-18.9,3,7,3,4,0,1,2,1,2,Target
159,-26.4,-19,4,10,3,4,0,1,2,2,1,Target
140,-22.2,-19,4,5,3,4,0,1,2,2,1,Target
157,-21.7,-16,3,10,2,5,0,2,1,2,2,Target
140,-24.2,-16,6,6,2,4,1,2,1,3,2,Target
147,-20.4,-16,5,10,2,5,0,2,1,2,2,Target
143,-22.5,-15.7,5,9,2,4,1,2,1,2,2,Target
166,-32.8,-20.9,6,9,4,3,0,1,1,2,2,Target
164,-28.9,-20.9,7,7,4,3,0,1,1,2,2,Target
155,-29.1,-20.9,4,9,4,3,0,1,1,2,2,Target
142,-20.1,-20.9,4,6,4,3,0,1,1,2,2,Target
168,-27.1,-16,4,11,2,5,0,2,1,2,2,Target
147,-24.9,-16,6,7,2,4,1,2,1,3,2,Target
153,-23.5,-16,3,11,2,5,0,2,1,2,2,Target
149,-18.1,-16,3,10,2,5,0,2,1,2,2,Target
154,-18.8,-16,3,9,2,5,0,2,1,2,2,Target
140,-14.5,-16,2,8,2,5,0,2,1,2,2,Target
147,-20.7,-16,5,7,2,5,0,2,1,2,2,Target
140,-16.6,-15.7,4,10,2,4,1,2,1,2,2,Target
140,-13.1,-13.9,1,10,1,5,1,2,1,2,2,Target
140,-16.6,-11.6,3,9,2,4,0,5,1,2,2,Target
140,-18.4,-16,4,6,2,5,0,2,1,2,2,Target
148,-21.8,-16,4,9,2,5,0,2,1,2,2,Target
147,-20.9,-16,3,8,2,5,0,2,1,2,2,Target
146,-23.6,-15.7,4,9,2,4,1,2,1,2,2,Target
141,-21.4,-15.7,5,8,2,4,1,2,1,2,2,Target
140,-14.7,-16,3,7,2,5,0,2,1,2,2,Target
168,-25.9,-16,4,10,2,5,0,2,1,2,2,Target
153,-24,-16,3,9,2,5,0,2,1,2,2,Target
153,-26.2,-18,5,9,3,4,0,2,2,2,2,Target
149,-24.3,-18,3,8,3,4,0,2,2,2,2,Target
146,-29,-20.4,9,5,4,3,0,2,2,1,1,Target
166,-33.3,-17.8,7,7,3,4,0,2,1,1,2,Target
142,-25,-22.1,5,6,5,2,0,1,1,2,1,Target
158,-25.5,-18.2,5,8,3,4,0,2,2,1,2,Target
162,-27.8,-21.1,5,9,5,2,0,2,1,1,1,Target
157,-22.2,-21.1,6,8,5,2,0,2,1,1,1,Target
166,-31.8,-19,6,10,4,2,1,2,1,1,1,Target
153,-25.5,-21.1,8,4,5,2,0,2,1,1,1,Target
143,-32.4,-15.2,6,9,4,2,0,2,1,1,1,Target
142,-21.6,-21.1,8,2,5,2,0,2,1,1,1,Target
141,-24.8,-21.1,7,5,5,2,0,2,1,1,1,Target
146,-17.5,-18.5,4,6,3,4,0,1,2,1,2,Target
145,-21.5,-12.6,5,9,2,4,0,5,2,1,2,Target
141,-19.2,-18.5,4,4,3,4,0,1,2,1,2,Target
148,-20.8,-18.5,5,5,3,4,0,1,2,1,2,Target
140,-17.6,-18.5,4,4,3,4,0,1,2,1,2,Target
149,-15.9,-18.5,3,8,3,4,0,1,2,1,2,Target
144,-16.8,-18.5,5,5,3,4,0,1,2,1,2,Target
154,-23.7,-18.5,6,6,3,4,0,1,2,1,2,Target
146,-29.5,-17.9,6,7,3,3,1,1,3,1,2,Target
140,-17.8,-18.5,3,4,3,4,0,1,2,1,2,Target
158,-24.3,-18,4,11,3,4,0,2,2,2,2,Target
154,-27.09,-18,7,7,3,4,0,2,2,2,2,Target
163,-27.4,-18.9,6,11,3,4,0,1,1,1,2,Target
157,-27.9,-22.3,9,5,5,2,0,1,1,1,2,Target
146,-29,-22.3,9,2,5,2,0,1,1,1,2,Target
143,-25.34,-22.3,8,5,5,2,0,1,1,1,2,Target
142,-25.6,-21.4,10,3,5,1,1,1,1,1,2,Target
140,-21.6,-19.4,7,5,4,2,1,3,1,1,2,Target
140,-26.1,-22.3,6,2,5,2,0,1,1,1,2,Target
142,-39.1,-18.2,7,8,3,3,0,2,2,2,1,Target
141,-31.5,-14.6,7,5,3,3,0,5,2,2,1,Target
141,-28.4,-20.5,6,7,4,2,1,1,1,3,2,Target
